pipe_id,node1,node2,length_m,diameter_cad_mm,diameter_mm,material,diameter_from_cad,label_distance_m,peak_tree_flow_lps,flow_lps,velocity_ms,headloss_m_per_km
P174,J143,J144,17.83,50.0,50.0,GI,True,45.3,0.0,-0.6065,0.3089,0.0036
P175,J143,J155,63.58,50.0,50.0,GI,True,20.6,0.1507,-0.6919,0.3524,0.0046
P176,J144,J153,11.46,50.0,50.0,GI,True,57.5,0.127,0.127,0.0647,0.0002
P177,J157,J144,64.71,50.0,50.0,GI,True,37.3,0.1598,0.6077,0.3095,0.0036
P178,J148,J145,56.19,50.0,50.0,GI,True,52.6,0.2008,0.2008,0.1023,0.0005
P179,J146,J148,6.18,50.0,50.0,GI,True,23.0,0.2172,0.8154,0.4153,0.0062
P180,J170,J146,148.04,50.0,50.0,CI,True,31.1,0.4003,-0.4003,0.2039,0.0023
P181,J146,J150,10.39,50.0,200.0,GI,True,21.5,33.5656,32.2391,1.0262,0.0066
P182,J146,J148,7.62,50.0,50.0,GI,True,21.6,0.0,0.7282,0.3709,0.0051
P183,J147,J151,2.17,100.0,100.0,UNK,False,inf,0.1309,-0.3596,0.0458,1e-04
P184,J147,J151,8.71,100.0,100.0,UNK,False,inf,0.0,-0.1724,0.022,0.0
P185,J147,J149,7.85,50.0,50.0,UNK,False,inf,0.9476,0.9476,0.4826,0.0097
P186,J150,J147,56.6,50.0,50.0,GI,True,54.3,1.0862,0.4233,0.2156,0.0019
P187,J148,J150,1.96,50.0,50.0,GI,True,25.5,0.0,1.3265,0.6756,0.0153
P188,J150,J154,7.01,50.0,200.0,GI,True,28.6,32.4618,33.1247,1.0544,0.0069
P189,J151,J154,47.67,50.0,50.0,GI,True,55.1,0.0,-0.331,0.1686,0.0012
P190,J151,J154,47.45,50.0,50.0,GI,True,55.0,0.0,-0.3319,0.169,0.0012
P191,J152,J155,10.43,50.0,50.0,,True,37.9,0.0902,-0.0902,0.0459,1e-04
P192,J154,J233,280.15,100.0,200.0,CI,True,47.0,31.9915,31.9915,1.0183,0.0091
P193,J154,J216,198.57,50.0,50.0,CI,True,5.8,0.2619,0.2619,0.1334,0.0011
P194,J155,J157,18.02,50.0,50.0,,True,37.7,0.0,-0.1516,0.0772,0.0003
P195,J155,J164,63.34,50.0,50.0,,True,17.5,0.2738,-0.6634,0.3378,0.005
P196,J156,J168,27.15,50.0,50.0,GI,True,58.3,0.1542,0.1542,0.0785,0.0003
P197,J156,J158,32.2,75.0,75.0,GI,True,44.3,0.5293,-0.5293,0.1198,0.0004
